Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Assam,Dima Hasao,Rabies,1,1,07-03-21,10-03-21
Bihar,Jahanabad,Chicken Pox,13,0,07-03-21,12-03-21
Maharashtra,Kolhapur,Chikungunya,6,0,10-03-21,10-03-21
Tamil Nadu,Madurai,Diphtheria,1,1,07-03-21,09-03-21
West Bengal,Hooghly,Cholera,9,0,06-03-21,08-03-21
West Bengal,Hooghly,Acute Diarrheal Disease,43,0,08-03-21,10-03-21
West Bengal,Purba Medinipur,Food Poisoning,95,0,12-03-21,12-03-21
West Bengal,Purba Medinipur,Food Poisoning,186,0,10-03-21,10-03-21
Assam,Darrang (Mangaldoi),Leptospirosis,1,0,02-03-21,
Kerala,Ernakulam,Shigella,3,0,03-03-21,
Andhra Pradesh,Ananthapur,Food Poisoning,5,0,15-03-21,16-03-21
Haryana,Panipat,Diphtheria,1,0,17-03-21,22-03-21
Haryana,Faridabad,Chickenpox,5,0,18-03-21,22-03-21
Jharkhand,West Singhbhum,Chickenpox,14,0,15-03-21,16-03-21
Jharkhand,West Singhbhum,Chickenpox,8,0,18-03-21,19-03-21
Maharashtra,Bhandara,Food Poisoning,88,1,15-03-21,18-03-21
Meghalaya,West Khasi Hills,Acute Diarrheal Disease,37,0,12-03-21,17-03-21
West Bengal,Puruliya,Acute Diarrheal Disease,255,0,16-03-21,17-03-21
Odisha,Dhenkanal,Food Poisoning,21,2,19-02-21,
West Bengal,South 24 Paraganas,Acute Diarrheal Disease,122,0,09-03-21,
Karnataka,Bidar,Chikungunya,44,0,15-02-21,
Assam,Cachar,Rabies,2,2,18-03-21,25-03-21
Assam,Golaghat,Rabies,2,2,24-03-21,26-03-21
Maharashtra,Satara,Acute Diarrheal Disease,80,0,21-03-21,24-03-21
Meghalaya,Ri Bhoi,Acute Diarrheal Disease,32,0,22-03-21,22-03-21
Odisha,Kalahandi,Acute Diarrheal Disease,12,0,25-03-21,27-03-21
Odisha,Nawarangpur,Chickenpox,5,0,25-03-21,27-03-21
Odisha,Angul,Food Poisoning,127,0,24-03-21,25-03-21
West Bengal,South 24 Parganas,Acute Diarrheal Disease,57,0,25-03-21,31-03-21
West Bengal,Purba Medinipur,Food Poisoning,503,0,24-03-21,25-03-21
West Bengal,South 24 Parganas,Acute Diarrheal Disease,32,0,22-03-21,25-03-21
West Bengal,North 24 Parganas,Acute Diarrheal Disease,93,0,19-03-21,20-03-21
Jharkhand,Pakur,Suspected Measles,11,0,25-01-21,
Karnataka,Raichur,Acute Diarrheal Disease,11,0,25-01-21,
Kerala,Ernakulam,Acute Diarrheal Disease,19,0,28-03-21,05-04-21
Kerala,Ernakulam,Food Poisoning,19,0,24-03-21,05-04-21
Odisha,Angul,Food Poisoning,24,0,01-04-21,06-04-21
Odisha,Kandhamal,Acute Diarrheal Disease,10,0,04-04-21,13-04-21
Tamil Nadu,Madurai,Diphtheria,1,0,30-03-21,04-04-21
West Bengal,Purba Bardhaman,Acute Diarrheal Disease,97,0,31-03-21,02-04-21
West Bengal,Purba Bardhaman,Acute Diarrheal Disease,29,0,31-03-21,01-04-21
Himachal Pradesh,Kinnaur,Jaundice,18,0,15-03-21,
Kerala,Ernakulam,Acute Diarrheal Disease,37,0,09-03-21,
Kerala,Ernakulam,Hepatitis A,15,0,05-03-21,
Karnataka,Dharwad,Suspected Dengue,10,0,10-04-21,10-04-21
Kerala,Trivandrum,Food Poisoning,5,0,08-04-21,12-04-21
Kerala,Ernakulam,Acute Diarrheal Disease,50,0,05-04-21,12-04-21
Kerala,Palakkad,Dengue,7,0,01-04-21,12-04-21
Kerala,Wayanad,Shigellosis,1,1,01-04-21,05-04-21
Meghalaya,East Khasi Hills,Acute Diarrheal Disease,8,0,05-04-21,08-04-21
West Bengal,Burdhaman,Acute Diarrheal Disease,41,0,06-04-21,07-04-21
West Bengal,Hooghly,Cholera,25,0,07-04-21,08-04-21
West Bengal,Howrah,Acute Diarrheal Disease,31,0,05-04-21,06-04-21
Assam,Jorhat,Rubella,1,0,24-03-21,
Meghalaya,East Garo Hills,Acute Diarrheal Disease,24,0,09-04-21,12-04-21
West Bengal,South 24 Parganas,Acute Diarrheal Disease,120,1,04-04-21,04-04-21
West Bengal,South 24 Parganas,Acute Diarrheal Disease,55,0,22-04-21,23-04-21
Maharashtra,Satara,Dengue,7,0,15-04-21,24-04-21
West Bengal,South 24 Parganas,Acute Diarrheal Disease,146,0,16-04-21,18-04-21
Kerala,Kottayam,Dengue,19,0,10-03-21,
Maharashtra,Ahmednagar,Chikungunya,3,1,23-03-21,
Maharashtra,Ahmednagar,Chikungunya,13,0,04-04-21,
Maharashtra,Satara,Dengue,31,1,05-04-21,
Odisha,Koraput,Acute Diarrheal Disease,09,00,01-05-21,05-05-21
Odisha,Nayagarh,Acute Diarrheal Disease,31,01,30-04-21,01-05-21
Punjab,Shahid Bhagat Singh Nagar,Acute Diarrheal Disease,19,0,08-05-21,10-05-21
Kerala,Kasaragod,Dengue,51,0,12-05-21,17-05-21
Kerala,Kozhikode,Dengue,43,0,10-04-21,
Kerala,Thrissur,Brucellosis,1,0,20-04-21,
Maharashtra,Thane,Malaria,2,1,02-05-21,
Kerala,Ernakulam,Acute Diarrheal Disease,92,00,01-01-21,06-01-21
Maharashtra,Ahmednagar,Food Poisoning,104,01,03-01-21,04-01-21
Madhya Pradesh,Hoshangabad,Chickenpox,15,00,07-01-21,08-01-21
Tamil Nadu,Dharmapuri,Acute Diarrheal Disease,17,00,04-01-21,07-01-21
West Bengal,Howrah,Food Poisoning,47,00,06-01-21,07-01-21
Assam,Lakshimpur,Suspected Mushroom Poisoning,09,00,19-05-21,20-05-21
Assam,Lakshimpur,Suspected Mushroom Poisoning,06,00,17-05-21,19-05-21
Kerala,Trivandrum,Zika Virus,65,00,15-05-21,20-05-21
Maharashtra,Nashik,Chikungunya,06,00,19-05-21,21-05-21
Kerala,Kannur,Dengue,32,00,02-05-21,
Kerala,Malappuram,Dengue,37,00,03-03-21,
Maharashtra,Nashik,Chikungunya,03,00,18-03-21,
Maharashtra,Nashik,Chikungunya,05,00,17-03-21,
Maharashtra,Nashik,Chikungunya,03,00,19-03-21,
Maharashtra,Pune,Chikungunya,04,00,08-02-21,
Maharashtra,Pune,Dengue,04,00,08-01-21,
Maharashtra,Pune,Chikungunya,07,00,04-02-21,
Maharashtra,Pune,Chikungunya,07,00,04-02-21,
Maharashtra,Thane,Dengue,02,01,29-04-21,
Haryana,Faridabad,Fever with rashes,05,00,18-03-21,
Kerala,Ernakulam,Pyrexia of unknown origin,09,00,11-05-21,
Kerala,Kozhikode,Dengue,64,00,05-05-21,
Gujarat,Navsari,Acute Diarrheal Disease,15,0,06-06-21,07-06-21
Gujarat,Sabarkantha,Jaundice,11,0,29-05-21,31-05-21
Gujarat,Surat,Acute Diarrheal Disease,108,6,30-05-21,31-05-21
Maharashtra,Bhandara,Acute Diarrheal Disease,108,0,03-06-21,04-06-21
Maharashtra,Pune,Chikungunya,6,0,01-06-21,06-06-21
West Bengal,Purba Bardhaman,Cholera,29,0,31-05-21,01-06-21
West Bengal,Birbhum,Acute Diarrheal Disease,51,0,01-06-21,02-06-21
Kerala,Ernakulam,Dengue,24,1,05-05-21,
Kerala,Malappuram,Dengue,20,0,17-05-21,
Meghalaya,West Khasi Hills,Mushroom Poisoning,8,5,25-05-21,
Assam,Lakhimpur,Scrub Typhus,01,00,07-06-21,11-06-21
Maharashtra,Osmanabad,Dengue Fever,07,01,02-06-21,09-06-21
Punjab,Sahibzada Ajit Singh Nagar,Acute Diarrheal Disease,337,00,09-06-21,09-06-21
Punjab,Sahibzada Ajit Singh Nagar,Acute Diarrheal Disease,07,00,08-06-21,09-06-21
Tamil Nadu,Dindigul Palani,Diphtheria,01,00,05-06-21,14-06-21
Gujarat,Anand,Acute Diarrheal Disease,15,00,31-05-21,
Kerala,Kozhikode,Dengue,64,00,11-05-21,
Kerala,Trivandrum,Chikungunya,10,00,14-05-21,
Kerala,Palakkad,Dengue Fever,08,00,19-05-21,
West Bengal,Diamond Harbour Health District,Acute Diarrheal Disease,289,00,16-04-21,
Assam,Nagaon,Japanese Encephalitis,01,00,17-06-21,18-06-21
Gujarat,Banaskantha,Epidemic Dropsy,07,02,18-06-21,18-06-21
Gujarat,Morbi,Acute Diarrheal Disease,44,00,11-06-21,16-06-21
Odisha,Mayurbhanj,Acute Diarrheal Disease,18,00,20-06-21,26-06-21
West Bengal,Burdhaman,Acute Diarrheal Disease,29,00,17-06-21,23-06-21
Kerala,Kozhikode,Dengue,24,00,20-05-21,
Maharashtra,Karad,Suspected Dengue,13,00,09-06-21,
Maharashtra,Satara,Suspected Dengue,15,00,08-06-21,
Maharashtra,Satara,Suspected Dengue,11,00,08-06-21,
Bihar,Jahanabad,Japanese Encephalitis,01,01,21-06-21,24-06-21
Bihar,Jahanabad,Food Poisoning,19,00,20-06-21,24-06-21
Madhya Pradesh,Khargon,Acute Diarrheal Disease,174,00,24-06-21,25-06-21
Maharashtra,Nandurbar,Acute Diarrheal Disease,36,00,19-06-21,23-06-21
Maharashtra,Sindhudurg (Kudal),Dengue,21,00,25-06-21,25-06-21
Maharashtra,Sindhudurg (Kudal),Dengue,41,00,24-06-21,25-06-21
Odisha,Balasore,Food Poisoning,12,00,27-06-21,28-06-21
Uttar Pradesh,Farrukhabad,Dengue,07,00,26-06-21,26-06-21
Kerala,Kollam,Dengue,22,00,07-06-21,
Kerala,Palakkad,Dengue,16,00,24-05-21,
Kerala,Thiruvananthapuram,Chikungunya,16,00,15-06-21,
Maharashtra,Kolhapur,Dengue,05,03,15-06-21,
Maharashtra,Pune,Chikungunya,05,00,14-06-21,
West Bengal,Birbhum,Acute Diarrheal Disease,35,00,17-06-21,
West Bengal,Birbhum,Cholera,51,00,17-06-21,
Assam,Bongaigaon,Japanese Encephalitis,01,01,29-06-21,03-07-21
Assam,Cachar,Japanese Encephalitis,01,01,24-06-21,03-07-21
Gujarat,Gandhi Nagar,Acute Diarrheal Disease,12,00,30-06-21,30-06-21
Gujarat,Kheda,Cholera,10,00,29-06-21,29-06-21
Jharkhand,Ranchi,Acute Diarrheal Disease,08,00,28-06-21,01-07-20
