Name of State/UT,Name of District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Assam,Barpeta,Acute Diarrheal Disease,22,00,07/03/2023,08/03/2023
Jharkhand,Chatra,Acute Diarrheal Disease,22,00,05/03/2023,06/03/2023
Jharkhand,Chatra,Fever with Rash,13,00,06/03/2023,06/03/2023
Karnataka,Chikkaballapura,Human Rabies,01,01,05-03-23,07-03-23
Karnataka,Mandya,Acute Diarrheal Disease,33,00,08-03-23,10-03-23
Karnataka,Vijayanagar,Human Rabies,01,01,04-03-23,05-03-23
Kerala,Kannur,Food Poisoning,35,00,08-03-23,10-03-23
Kerala,Pathanamthitta,Food Poisoning,29,00,09-03-23,10-03-23
Odisha,Sundargarh,Hepatitis A and E,75,00,15-03-23,20-03-23
West Bengal,Paschim Medinipur,Food Poisoning,97,00,11-03-23,11-03-23
Karnataka,Koppal,Human Rabies,01,01,01-03-23,
Meghalaya,East Khasi Hills,Human Rabies,01,01,28/02/2023,
West Bengal,Uttar Dinajpur,Fever With Rash,21,00,29-12-22,
West Bengal,Uttar Dinajpur,Measles,64,00,19-12-22,
Chhattisgarh,Dhamtari,Chickenpox,14,00,14-03-2023,15-03-2023
Chhattisgarh,Dhamtari,Acute Diarrheal Disease,11,00,13-03-2023,15-03-2023
Jharkhand,Chatra,Chickenpox,12,00,14-03-2023,17-03-2023
Jharkhand,Deoghar,Acute Diarrheal Disease,18,00,17-03-2023,18-03-2023
Karnataka,Davangere,Human Rabies,01,01,13-03-23,13-03-23
Karnataka,Koppal,Suspected Human Rabies,01,01,10-03-23,13-03-23
Karnataka,Mandya,Food Poisoning,126,00,17-03-23,18-03-23
Kerala,Malappuram,Hepatitis A,28,00,14-03-23,17-03-23
Odisha,Balangir,Food Poisoning,24,00,18-03-23,18-03-23
West Bengal,South 24 Paranas,Food Poisoning,120,00,20-03-23,21-03-23
Arunachal Pradesh,Anjaw,Pyrexia of Unknown Origin,64,00,02-03-2023,
Bihar,Sheohar,Fever with Rash,15,00,25-02-2023,
Kerala,Kollam,Food Poisoning,23,00,04-03-23,
Kerala,Kannur,Measles,12,00,12-02-23,
