State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Arunachal Pradesh,Papumpare,Human Rabies,1,1,04-03-2024,04-03-2024
Assam,Biswanath,Hepatitis A,25,2,02-03-2024,04-03-2024
Assam,Goalpara,Hepatitis A,28,0,05-03-2024,07-03-2024
Assam,Udalguri,Food Poisoning,17,0,06-03-2024,08-03-2024
Bihar,Saharsa,Measles,11,0,05-03-2024,05-03-2024
Chhattisgarh,Sukma,Measles,93,0,01-03-2024,04-03-2024
Chhattisgarh,Sukma,Fever with rash,13,0,01-03-2024,04-03-2024
Gujarat,Anand,Acute Diarrheal Disease,39,0,06-03-2024,06-03-2024
Gujarat,Arvalli,Acute Diarrheal Disease,17,0,05-03-2024,05-03-2024
Himachal Pradesh,Mandi,Hepatitis A,11,0,05-03-2024,06-03-2024
Karnataka,Uttar Kannad,Kyasanur Forest Disease,2,0,09-03-2024,09-03-2024
Kerala,Malappuram,Hepatitis A,36,0,06-03-2024,07-03-2024
Madhya Pradesh,Sagar,Measles,44,0,24-01-2024,06-03-2024
Maharashtra,Dhule,Food Poisoning,25,0,09-03-2024,09-03-2024
Maharashtra,Hingoli,Acute Diarrheal Disease,21,0,08-03-2024,10-03-2024
Maharashtra,Kolhapur,Hepatitis A,22,0,05-03-2024,06-03-2024
Maharashtra,Latur,Food Poisoning,48,0,08-03-2024,10-03-2024
Maharashtra,Nandurbar,Acute Diarrheal Disease,18,0,09-03-2024,09-03-2024
Maharashtra,Nandurbar,Acute Diarrheal Disease,76,0,08-03-2024,08-03-2024
Maharashtra,Sindhudurg,Acute Diarrheal Disease,146,0,08-03-2024,08-03-2024
Odisha,Ganjam,Cholera,72,0,06-03-2024,07-03-2024
Odisha,Jharsuguda,Food Poisoning,53,0,04-03-2024,04-03-2024
Odisha,Malkangiri,Food Poisoning,28,1,06-03-2024,06-03-2024
Odisha,Sambalpur,Acute Diarrheal Disease,42,0,07-03-2024,07-03-2024
Odisha,Sundargarh,Acute Diarrheal Disease,16,0,09-03-2024,10-03-2024
Rajasthan,Kota,Food Poisoning,104,0,06-03-2024,07-03-2024
Tamil Nadu,Krishnagiri,Mumps,6,0,06-03-2024,07-03-2024
Tamil Nadu,Perambalur,Dengue,88,0,07-03-2024,07-03-2024
Tamil Nadu,Tiruchirappalli,Mumps,17,0,04-03-2024,06-03-2024
Tamil Nadu,Tiruchirappalli,Chickenpox,64,0,05-03-2024,06-03-2024
Tamil Nadu,Tiruvannamalai,Mumps,8,0,05-03-2024,06-03-2024
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,Mumps,6,0,05-03-2024,06-03-2024
Uttar Pradesh,Ballia,Leptospirosis,3,0,01-03-2024,04-03-2024
Arunachal Pradesh,East Kameng,Human Rabies,2,2,16-02-2024,
Chhattisgarh,Rajnandgaon,Chickenpox,20,0,23-02-2024,
Goa,North Goa,Kyasanur Forest Disease,6,0,28-02-2024,
Kerala,Malappuram,Food Poisoning,20,0,29-02-2024,
Tamil Nadu,Krishnagiri,Measles,14,0,21-02-2024,
Uttar Pradesh,Fatehpur,Fever with rash,5,0,23-02-2024,
Arunachal Pradesh,Papumpare,Mumps,115,0,14-03-2024,15-03-2024
Assam,Biswanath,Chickenpox,10,0,14-03-2024,14-03-2024
Assam,Dhubri,Measles,15,0,16-03-2024,16-03-2024
Assam,Dibrugarh,Measles,14,0,11-03-2024,11-03-2024
Assam,Goalpara,Measles,17,0,11-03-2024,12-03-2024
Assam,Jorhat,Human Rabies,1,1,11-03-2024,11-03-2024
