Disease,Remedy
"Acid Reflux","Drink 1 tsp baking soda in water or chew fennel seeds (Saunf) after meals."
"Acidity","Mix 1 tsp baking soda in water and drink immediately."
"Acne","Apply a paste of turmeric and honey for 20 minutes before washing."
"Allergic Rhinitis","Boil 5 Tulsi leaves + 1 tsp honey in water; drink daily."
"Allergies","Boil 5 tulsi leaves in water, strain and drink with honey."
"Anemia","Eat 2 dates soaked overnight in milk every morning."
"Anger Issues","Chew 5-10 fresh mint leaves to calm nerves."
"Anger Management","Sip chamomile tea or chew 2-3 rose petals to calm nerves."
"Anxiety","Drink chamomile tea or ashwagandha milk before bed."
"Arthritis Pain","Massage joints with warm mustard oil and crushed garlic."
"Athlete's Foot","Apply tea tree oil or crushed garlic paste daily."
"Backache","Apply a warm paste of ginger and Epsom salt on the affected area."
"Bad Breath","Chew fennel seeds or cloves after meals."
"Baldness","Apply onion juice on scalp for 30 minutes before washing."
"Bed Sores","Apply aloe vera gel or coconut oil on affected areas."
"Bedwetting","Give 1 tsp honey with cinnamon powder before bedtime."
"Blackheads","Apply a paste of baking soda and water, scrub gently."
"Bleeding Gums","Gargle with warm salt water twice daily."
"Bloating","Drink ajwain water (1 tsp boiled in a cup of water)."
"Body Ache","Massage with eucalyptus oil or warm sesame oil."
"Body Odor","Apply lemon juice mixed with baking soda on underarms."
"Boils","Apply warm turmeric paste or onion juice."
"Breast Tenderness","Apply warm castor oil packs or cabbage leaves."
"Bronchitis","Inhale steam with eucalyptus oil or crushed ginger."
"Brittle Nails","Soak nails in olive oil + lemon juice for 10 minutes daily."
"Bruises","Apply crushed parsley or arnica gel to reduce swelling."
"Burning Feet","Soak feet in cool water + Epsom salt for 15 minutes."
"Burns","Apply aloe vera gel or coconut oil immediately."
"Calluses","Soak feet in warm water with apple cider vinegar."
"Canker Sores","Apply coconut oil (Nariyal) or honey (Madhu) directly."
"Canker Sores","Apply coconut oil or honey directly on sores."
"Chapped Lips","Apply ghee (clarified butter) or beeswax-based balm."
"Chapped Lips","Apply ghee or beeswax-based balm regularly."
"Cholesterol","Drink coriander (Dhania) seed water daily on empty stomach."
"Cold Hands","Soak in warm water with ginger slices."
"Cold Sores","Dab tea tree oil or licorice root extract on sores."
"Colic in Babies","Give 1 tsp ajwain (Ajvain) water (boiled and cooled)."
"Conjunctivitis","Apply cooled chamomile tea bags or rosewater on eyes."
"Constipation","Drink warm water with 1 tsp ghee at night."
"Corn Removal","Apply garlic paste or duct tape overnight."
"Cough","Mix black pepper and honey; take 1 tsp twice daily."
"Cracked Heels","Apply banana pulp + coconut oil (Nariyal) overnight."
"Cradle Cap","Apply coconut oil and gently brush flakes away."
"Cramps","Drink ginger tea or apply warm castor oil packs."
"Cuts","Apply turmeric paste or honey to stop bleeding."
"Cystitis","Drink cranberry juice or barley water frequently."
"Dandruff","Apply coconut oil mixed with lemon juice on scalp."
"Dark Circles","Place chilled cucumber slices or tea bags on eyes."
"Dengue Fever","Consume papaya leaf juice (2 tbsp twice daily)."
"Dehydration","Drink coconut water or lemon water with salt."
"Depression","Drink saffron milk or St. John's wort tea."
"Dermatitis","Apply oatmeal paste or coconut oil on rashes."
"Diabetes","Drink bitter gourd juice or fenugreek water daily."
"Diarrhea","Eat boiled rice with yogurt and cumin powder."
"Dry Cough","Chew black pepper (Kalimirach) + jaggery for relief."
"Dry Eyes","Apply castor oil drops or rosewater."
"Dry Hair","Apply egg mask or avocado paste weekly."
"Dry Skin","Apply almond oil or mashed avocado as moisturizer."
"Earache","Put 2-3 drops of warm garlic oil in ear."
"Ear Infection","Apply warm onion juice drops twice daily."
"Ear Wax","Put 2 drops olive oil in ear overnight."
"Eczema","Apply neem (Azadirachta indica) paste or oatmeal paste."
"Edema","Drink dandelion tea or coriander seed water."
"Eye Redness","Place chilled cucumber slices or potato slices on eyes."
"Eye Strain","Apply rosewater-soaked cotton pads on eyes."
"Facial Hair","Apply turmeric and gram flour paste weekly."
"Fatigue","Drink ginger tea or eat a banana."
"Fatty Liver","Drink dandelion tea or amla (Indian gooseberry) juice."
"Fever","Drink tulsi tea with black pepper."
"Fibromyalgia","Massage with lavender oil or take Epsom salt baths."
"Fissures","Apply coconut oil (Nariyal) + turmeric (Haldi) paste."
"Flatulence","Chew roasted cumin seeds after meals."
"Flu","Drink ginger, honey and lemon tea 3 times daily."
"Food Allergies","Take 1 tsp apple cider vinegar in water before meals."
"Food Poisoning","Drink ginger juice with honey and lemon."
"Fracture Healing","Drink comfrey tea or bone broth daily."
"Freckles","Apply lemon juice or buttermilk daily."
"Fungal Infection","Apply crushed garlic (Lahsun) or oregano oil topically."
"Gallstones","Drink olive oil + lemon juice mixture on empty stomach."
"Gas Trouble","Chew ajwain seeds or drink peppermint tea."
"Gastritis","Sip aloe vera juice or cold milk with honey (Madhu)."
"Gingivitis","Chew guava leaves or gargle with clove (Laung) water."
"Glaucoma","Drink bilberry tea or eat blueberries daily."
"Glowing Skin","Apply besan (gram flour) + turmeric (Haldi) face pack."
"Gout","Apply apple cider vinegar-soaked cloth on joints."
"Gradual Weight Loss","Drink warm water + lemon (Nimbu) + honey (Madhu) daily."
"Gum Disease","Massage gums with coconut oil and salt."
"Hair Fall","Massage scalp with warm coconut oil and amla."
"Hair Growth","Apply onion juice or rosemary oil weekly."
"Hair Thinning","Massage scalp with onion (Pyaj) juice + coconut oil."
"Halitosis","Chew cardamom (Elaichi) or mint leaves after meals."
"Hand Pain","Massage with warm mustard oil and camphor."
"Hay Fever","Drink nettle tea or local honey daily."
"Headache","Apply peppermint oil on temples."
"Head Lice","Apply coconut oil and tea tree oil overnight."
"Hearing Loss","Massage ears with warm sesame oil daily."
"Heartburn","Drink aloe vera juice or cold milk."
"Heat Rash","Apply sandalwood paste or aloe vera gel on rashes."
"Heat Stroke","Drink onion juice or coconut water."
"Hemorrhoids","Apply witch hazel or coconut oil (Nariyal) topically."
"Hepatitis","Drink papaya leaf juice or dandelion tea."
"Hiccups","Hold breath or sip ice-cold water with lemon (Nimbu)."
"High BP","Consume garlic or beetroot juice daily."
"High Cholesterol","Drink flaxseed water or green tea daily."
"Hoarse Voice","Gargle with salt water or sip ginger tea."
"Hot Flashes","Drink sage tea or flaxseed water."
"Hyperacidity","Drink coconut water or cold milk."
"Hyperpigmentation","Apply potato juice or vitamin E oil on dark spots."
"Hypothyroidism","Consume coconut oil (Nariyal) + ginger (Adrak) tea."
"Impetigo","Apply turmeric paste or coconut oil."
"Indigestion","Chew fennel seeds or drink ginger tea."
"Infertility","Drink ashwagandha milk or eat dates daily."
"Inflammation","Apply turmeric paste or drink ginger tea."
"Insect Bites","Apply baking soda paste or lavender oil on bites."
"Insomnia","Drink warm milk with nutmeg before bed."
"Insulin Resistance","Drink bitter gourd (Karela) juice every morning."
"Itchy Scalp","Apply apple cider vinegar or neem oil."
"Itchy Skin","Apply oatmeal paste or coconut oil."
"Jaundice","Drink sugarcane juice or radish juice."
"Jaw Pain","Apply warm clove (Laung) oil or chew ginger (Adrak)."
"Jet Lag","Drink ginger (Adrak) tea or chamomile tea to relax."
"Joint Pain","Apply hot/castor oil packs or ginger paste."
"Kidney Cleansing","Drink parsley tea or watermelon juice daily."
"Kidney Stones","Drink pomegranate juice or basil tea."
"Knee Pain","Apply hot/castor oil packs or ginger (Adrak) paste."
"Lactation Boost","Eat fenugreek (Methi) seeds + fennel (Saunf) tea."
"Laryngitis","Gargle with salt water or sip ginger (Adrak) + honey tea."
"Leg Cramps","Massage with mustard oil or drink coconut water."
"Leucorrhea","Drink fenugreek water or eat yogurt daily."
"Low BP","Drink beetroot juice or licorice tea."
"Low Hemoglobin","Eat spinach (Palak) + beetroot (Chukandar) salad daily."
"Low Immunity","Take 1 tsp chyawanprash daily."
"Low Sperm Count","Eat walnuts or pumpkin seeds daily."
"Lumbago","Apply warm sesame oil or ginger paste."
"Lung Congestion","Inhale eucalyptus oil steam."
"Malaria","Drink neem tea or papaya leaf juice."
"Memory Loss","Eat walnuts or drink brahmi tea."
"Menopause Symptoms","Drink flaxseed tea or soy milk for balance."
"Menstrual Cramps","Drink ginger tea or apply castor oil."
"Migraine","Inhale lavender oil or apply sandalwood paste."
"Morning Sickness","Chew ginger or sip peppermint tea."
"Motion Sickness","Chew ginger (Adrak) or sip peppermint tea."
"Mouth Ulcers","Apply alum powder or coconut oil (Nariyal) directly."
"Muscle Cramps","Massage with mustard oil or drink coconut water."
"Nail Fungus","Soak nails in apple cider vinegar + water daily."
