State,Outbreak Count
Kerala,234
Karnataka,226
Maharashtra,173
Assam,142
Madhya Pradesh,117
Jharkhand,83
Gujarat,82
Uttar Pradesh,77
Odisha,76
Bihar,72
Chhattisgarh,69
Jammu and Kashmir,66
Tamil Nadu,55
West Bengal,40
Andhra Pradesh,21
Meghalaya,20
Punjab,20
Telangana,15
Rajasthan,15
Haryana,13
Arunachal Pradesh,12
Nagaland,12
Uttarakhand,11
Tripura,11
Mizoram,11
Delhi,8
Manipur,8
Puducherry,8
Himachal Pradesh,4
Orissa,3
Sikkim,2
Yavatmal,1
Wanaparthy,1
West Khasi Hills,1
Andaman and Nicobar Islands,1
Dadra and Nagar Haveli and Daman and Diu,1
Chandigarh,1
Goa,1
Andaman & Nicobar Islands,1
